"orderNumber";"orderDate";"requiredDate";"shippedDate";"status";"customerNumber";"modelgroup";"totalCost";"itemQty"
10100;"2003-01-06 00:00:00";"2003-01-13 00:00:00";"2003-01-10 00:00:00";"Shipped";363;"Ford";109.0;2
10101;"2003-01-09 00:00:00";"2003-01-18 00:00:00";"2003-01-11 00:00:00";"Shipped";128;"Ford";133.0;4
10102;"2003-01-10 00:00:00";"2003-01-18 00:00:00";"2003-01-14 00:00:00";"Shipped";181;"Ford";92.0;1
10103;"2003-01-29 00:00:00";"2003-02-07 00:00:00";"2003-02-02 00:00:00";"Shipped";121;"Toyota";59.0;4
10104;"2003-01-31 00:00:00";"2003-02-09 00:00:00";"2003-02-01 00:00:00";"Shipped";141;"Toyota";101.0;4
10105;"2003-02-11 00:00:00";"2003-02-21 00:00:00";"2003-02-12 00:00:00";"Shipped";145;"Nissan";88.0;1
10106;"2003-02-17 00:00:00";"2003-02-24 00:00:00";"2003-02-21 00:00:00";"Shipped";278;"Nissan";65.0;3
10107;"2003-02-24 00:00:00";"2003-03-03 00:00:00";"2003-02-26 00:00:00";"Shipped";131;"BMW";82.0;3
10108;"2003-03-03 00:00:00";"2003-03-12 00:00:00";"2003-03-08 00:00:00";"Shipped";385;"Ford";34.0;2
10109;"2003-03-10 00:00:00";"2003-03-19 00:00:00";"2003-03-11 00:00:00";"Shipped";486;"Mazda";52.0;4
10110;"2003-03-18 00:00:00";"2003-03-24 00:00:00";"2003-03-20 00:00:00";"Shipped";187;"Mazda";30.0;3
10111;"2003-03-25 00:00:00";"2003-03-31 00:00:00";"2003-03-30 00:00:00";"Shipped";129;"Nissan";89.0;4
10112;"2003-03-24 00:00:00";"2003-04-03 00:00:00";"2003-03-29 00:00:00";"Shipped";144;"Ford";31.0;2
10113;"2003-03-26 00:00:00";"2003-04-02 00:00:00";"2003-03-27 00:00:00";"Shipped";124;"Toyota";63.0;3
10114;"2003-04-01 00:00:00";"2003-04-07 00:00:00";"2003-04-02 00:00:00";"Shipped";172;"Mazda";74.0;3
10115;"2003-04-04 00:00:00";"2003-04-12 00:00:00";"2003-04-07 00:00:00";"Shipped";424;"Nissan";60.0;2
10116;"2003-04-11 00:00:00";"2003-04-19 00:00:00";"2003-04-13 00:00:00";"Shipped";381;"Ford";117.0;2
10117;"2003-04-16 00:00:00";"2003-04-24 00:00:00";"2003-04-17 00:00:00";"Shipped";148;"Ford";108.0;2
10118;"2003-04-21 00:00:00";"2003-04-29 00:00:00";"2003-04-26 00:00:00";"Shipped";216;"BMW";67.0;3
10119;"2003-04-28 00:00:00";"2003-05-05 00:00:00";"2003-05-02 00:00:00";"Shipped";382;"BMW";86.0;3
10120;"2003-04-29 00:00:00";"2003-05-08 00:00:00";"2003-05-01 00:00:00";"Shipped";114;"BMW";63.0;1
10121;"2003-05-07 00:00:00";"2003-05-13 00:00:00";"2003-05-13 00:00:00";"Shipped";353;"Ford";48.0;4
10122;"2003-05-08 00:00:00";"2003-05-16 00:00:00";"2003-05-13 00:00:00";"Shipped";350;"Ford";79.0;2
10123;"2003-05-20 00:00:00";"2003-05-29 00:00:00";"2003-05-22 00:00:00";"Shipped";103;"Ford";49.0;2
10124;"2003-05-21 00:00:00";"2003-05-29 00:00:00";"2003-05-25 00:00:00";"Shipped";112;"Ford";51.0;1
10125;"2003-05-21 00:00:00";"2003-05-27 00:00:00";"2003-05-24 00:00:00";"Shipped";114;"Ford";49.0;4
10126;"2003-05-28 00:00:00";"2003-06-07 00:00:00";"2003-06-02 00:00:00";"Shipped";458;"Toyota";96.0;4
10127;"2003-06-03 00:00:00";"2003-06-09 00:00:00";"2003-06-06 00:00:00";"Shipped";151;"Toyota";72.0;4
10128;"2003-06-06 00:00:00";"2003-06-12 00:00:00";"2003-06-11 00:00:00";"Shipped";141;"Nissan";54.0;4
10129;"2003-06-12 00:00:00";"2003-06-18 00:00:00";"2003-06-14 00:00:00";"Shipped";324;"Nissan";117.0;4
10130;"2003-06-16 00:00:00";"2003-06-24 00:00:00";"2003-06-21 00:00:00";"Shipped";198;"BMW";87.0;2
10131;"2003-06-16 00:00:00";"2003-06-25 00:00:00";"2003-06-21 00:00:00";"Shipped";447;"Ford";106.0;3
10132;"2003-06-25 00:00:00";"2003-07-01 00:00:00";"2003-06-28 00:00:00";"Shipped";323;"Mazda";132.0;2
